Timestamp,Level,Cond,Tur,label_Level,label_Cond,label_Tur,type_Level,type_Cond,type_Tur
2017-03-12T00:00:00Z,0.636,326.34,34.47,0,0,0,0,0,0
2017-03-12T01:00:00Z,0.636,326.63,34.06,0,0,0,0,0,0
2017-03-12T03:00:00Z,0.635,327,33.39,0,0,0,0,0,0
2017-03-12T04:00:00Z,0.633,327.31,32.61,0,0,0,0,0,0
2017-03-12T06:00:00Z,0.634,327.81,33.34,0,0,0,0,0,0
2017-03-12T07:00:00Z,0.631,328.7,32.22,0,0,0,0,0,0
2017-03-12T09:00:00Z,0.631,329.79,31.66,0,0,0,0,0,0
2017-03-12T10:00:00Z,0.629,331.06,30.67,0,0,0,0,0,0
2017-03-12T12:00:00Z,0.629,332.63,30.66,0,0,0,0,0,0
2017-03-12T13:00:00Z,0.627,334.24,29.85,0,0,0,0,0,0
2017-03-12T15:00:00Z,0.627,336.13,29.11,0,0,0,0,0,0
2017-03-12T16:00:00Z,0.623,338.76,28.92,0,0,0,0,0,0
2017-03-12T18:00:00Z,0.621,340.62,28.27,0,0,0,0,0,0
2017-03-12T19:00:00Z,0.62,341.96,28.31,0,0,0,0,0,0
2017-03-12T21:00:00Z,0.62,342.45,27.65,0,0,0,0,0,0
2017-03-12T22:00:00Z,0.618,342,27.94,0,0,0,0,0,0
2017-03-13T00:00:00Z,0.617,341.43,27.7,0,0,0,0,0,0
2017-03-13T01:00:00Z,0.617,340.48,27.6,0,0,0,0,0,0
2017-03-13T03:00:00Z,0.616,339.5,28.34,0,0,0,0,0,0
2017-03-13T04:00:00Z,0.614,338.89,28,0,0,0,0,0,0
2017-03-13T06:00:00Z,0.614,338.55,27.39,0,0,0,0,0,0
2017-03-13T07:00:00Z,0.614,338.4,27.7,0,0,0,0,0,0
2017-03-13T09:00:00Z,0.612,338.74,26.68,0,0,0,0,0,0
2017-03-13T10:00:00Z,0.609,339.33,26.54,0,0,0,0,0,0
2017-03-13T12:00:00Z,0.61,340.02,25.98,0,0,0,0,0,0
2017-03-13T13:00:00Z,0.609,341.14,25.22,0,0,0,0,0,0
2017-03-13T15:00:00Z,0.607,342.61,25.39,0,0,0,0,0,0
2017-03-13T16:00:00Z,0.606,344.5,25.47,0,0,0,0,0,0
2017-03-13T18:00:00Z,0.604,346.43,24.44,0,0,0,0,0,0
