Timestamp,Level,Cond,Tur,label_Level,label_Cond,label_Tur,type_Level,type_Cond,type_Tur
2017-03-11T23:00:00Z,14.17,196.49,0.99,0,0,0,0,0,0
2017-03-12T00:00:00Z,14.17,196.72,2.72,0,0,0,0,0,0
2017-03-12T01:00:00Z,14.17,196.78,2.16,0,0,0,0,0,0
2017-03-12T02:00:00Z,14.17,196.96,1.54,0,0,0,0,0,0
2017-03-12T03:00:00Z,14.17,196.95,1.48,0,0,0,0,0,0
2017-03-12T04:00:00Z,14.17,196.72,1.47,0,0,0,0,0,0
2017-03-12T05:00:00Z,14.17,196.55,2.86,0,0,0,0,0,0
2017-03-12T06:00:00Z,14.17,196.81,1.58,0,0,0,0,0,0
2017-03-12T07:00:00Z,14.17,197.03,1.57,0,0,0,0,0,0
2017-03-12T08:00:00Z,14.17,196.56,1.69,0,0,0,0,0,0
2017-03-12T09:00:00Z,14.16375,196.92,1.46,0,0,0,0,0,0
2017-03-12T10:00:00Z,14.16,197.19,2.43,0,0,0,0,0,0
2017-03-12T11:00:00Z,14.16,197.87,1.83,0,0,0,0,0,0
2017-03-12T12:00:00Z,14.16,198.39,1.68,0,0,0,0,0,0
2017-03-12T13:00:00Z,14.16,199.18,3.37,0,0,0,0,0,0
2017-03-12T14:00:00Z,14.16,199.77,2.16,0,0,0,0,0,0
2017-03-12T15:00:00Z,14.16,200.37,1.88,0,0,0,0,0,0
2017-03-12T16:00:00Z,14.16,200.21,1.79,0,0,0,0,0,0
2017-03-12T17:00:00Z,14.16,200.08,1.4,0,0,0,0,0,0
2017-03-12T18:00:00Z,14.16,200.46,2.49,0,0,0,0,0,0
2017-03-12T19:00:00Z,14.16,199.4,1.48,0,0,0,0,0,0
2017-03-12T20:00:00Z,14.16,198.47,1.27,0,0,0,0,0,0
2017-03-12T21:00:00Z,14.16,198.45,1.45,0,0,0,0,0,0
2017-03-12T22:00:00Z,14.16,198.23,5.42,0,0,0,0,0,0
2017-03-12T23:00:00Z,14.16,197.57,2.83,0,0,0,0,0,0
2017-03-13T00:00:00Z,14.16,197.68,2.03,0,0,0,0,0,0
2017-03-13T01:00:00Z,14.16,197.93,1.45,0,0,0,0,0,0
2017-03-13T02:00:00Z,14.16,198.21,1.95,0,0,0,0,0,0
2017-03-13T03:00:00Z,14.16,198.56,1.62,0,0,0,0,0,0
2017-03-13T04:00:00Z,14.16,198.84,1.69,0,0,0,0,0,0
2017-03-13T05:00:00Z,14.16,198.69,3.03,0,0,0,0,0,0
2017-03-13T06:00:00Z,14.16,199.49,3.59,0,0,0,0,0,0
2017-03-13T07:00:00Z,14.16,199.73,2.85,0,0,0,0,0,0
2017-03-13T08:00:00Z,14.16,198.36,1.87,0,0,0,0,0,0
2017-03-13T09:00:00Z,14.16,198.13,1.51,0,0,0,0,0,0
2017-03-13T10:00:00Z,14.16,198.58,2.03,0,0,0,0,0,0
2017-03-13T11:00:00Z,14.16,198.84,2.41,0,0,0,0,0,0
2017-03-13T12:00:00Z,14.16,199.2,1.14,0,0,0,0,0,0
2017-03-13T13:00:00Z,14.16,199.81,1.26,0,0,0,0,0,0
2017-03-13T14:00:00Z,14.16,200.47,1.12,0,0,0,0,0,0
2017-03-13T15:00:00Z,14.15375,200.53,1.64,0,0,0,0,0,0
2017-03-13T16:00:00Z,14.15,198.92,1.73,0,0,0,0,0,0
2017-03-13T17:00:00Z,14.15,200.06,2.43,0,0,0,0,0,0
2017-03-13T18:00:00Z,14.15,202.15,2.08,0,0,0,0,0,0
2017-03-13T19:00:00Z,14.15,201.84,1.52,0,0,0,0,0,0
2017-03-13T20:00:00Z,14.15,203.18,2.52,0,0,0,0,0,0
2017-03-13T21:00:00Z,14.15,203.7,1.49,0,0,0,0,0,0
2017-03-13T22:00:00Z,14.15,201.94,1.27,0,0,0,0,0,0
2017-03-13T23:00:00Z,14.15,201.45,0.92,0,0,0,0,0,0
2017-03-14T00:00:00Z,14.15,199.32,0.93,0,0,0,0,0,0
2017-03-14T01:00:00Z,14.15,198.85,1.07,0,0,0,0,0,0
2017-03-14T02:00:00Z,14.15,198.52,1.65,0,0,0,0,0,0
2017-03-14T03:00:00Z,14.15,198.36,1.25,0,0,0,0,0,0
2017-03-14T04:00:00Z,14.15,198.52,1.19,0,0,0,0,0,0
2017-03-14T05:00:00Z,14.15,198.72,1.16,0,0,0,0,0,0
2017-03-14T06:00:00Z,14.15,198.82,1.48,0,0,0,0,0,0
2017-03-14T07:00:00Z,14.15,198.38,1.38,0,0,0,0,0,0
2017-03-14T08:00:00Z,14.15,198.03,2.24,0,0,0,0,0,0
2017-03-14T09:00:00Z,14.15,198.61,1.53,0,0,0,0,0,0
2017-03-14T10:00:00Z,14.15,199.61,1.23,0,0,0,0,0,0
2017-03-14T11:00:00Z,14.15,200.54,1.37,0,0,0,0,0,0
